State,Year,Digital Inclusion Index
New South Wales,2020,63.5
Victoria,2020,63.1
Queensland,2020,62.2
South Australia,2020,61.9
Western Australia,2020,64.1
Tasmania,2020,59.6
Australian Capital Territory,2020,67.5
Northern Territory,2020,57.5
New South Wales,2019,61.8
Victoria,2019,63.3
Queensland,2019,60.9
South Australia,2019,60.2
Western Australia,2019,61.3
Tasmania,2019,58.1
Australian Capital Territory,2019,67.6
Northern Territory,2019,64.3
New South Wales,2018,60.8
Victoria,2018,61.4
Queensland,2018,58.8
South Australia,2018,57.5
Western Australia,2018,59.8
Tasmania,2018,56.9
Australian Capital Territory,2018,63.3
Northern Territory,2018,57.2
New South Wales,2017,59.1
Victoria,2017,58.9
Queensland,2017,56.8
South Australia,2017,55.1
Western Australia,2017,57.4
Tasmania,2017,50.1
Australian Capital Territory,2017,61.6
Northern Territory,2017,58.8
New South Wales,2016,56.6
Victoria,2016,57.1
Queensland,2016,54.8
South Australia,2016,52.2
Western Australia,2016,55.8
Tasmania,2016,48.7
Australian Capital Territory,2016,62.3
Northern Territory,2016,56.2
New South Wales,2015,54.9
Victoria,2015,54.5
Queensland,2015,53.4
South Australia,2015,51.3
Western Australia,2015,56.4
Tasmania,2015,50.9
Australian Capital Territory,2015,62.1
Northern Territory,2015,58.4
New South Wales,2014,54.9
Victoria,2014,54.3
Queensland,2014,53.1
South Australia,2014,50.3
Western Australia,2014,55.0
Tasmania,2014,50.4
Australian Capital Territory,2014,60.3
Northern Territory,2014,54.3
