Main Source of Income,Value,Year
Zero or negative income,0.5,2014
Employee income,60.5,2014
Own unincorporated business income,4.1,2014
Government pensions and allowances,24.7,2014
Other income,10.2,2014
Zero or negative income,0.4,2015
Employee income,60.7,2015
Own unincorporated business income,4.3,2015
Government pensions and allowances,24.2,2015
Other income,10.4,2015
Zero or negative income,0.4,2016
Employee income,60.7,2016
Own unincorporated business income,4.3,2016
Government pensions and allowances,24.2,2016
Other income,10.4,2016
Zero or negative income,0.4,2017
Employee income,61.0,2017
Own unincorporated business income,4.3,2017
Government pensions and allowances,22.6,2017
Other income,11.6,2017
Zero or negative income,0.4,2018
Employee income,61.0,2018
Own unincorporated business income,4.3,2018
Government pensions and allowances,22.6,2018
Other income,11.6,2018
Zero or negative income,0.6,2019
Employee income,61.9,2019
Own unincorporated business income,3.1,2019
Government pensions and allowances,22.3,2019
Other income,12.1,2019
Zero or negative income,0.6,2020
Employee income,61.9,2020
Own unincorporated business income,3.1,2020
Government pensions and allowances,22.3,2020
Other income,12.1,2020
