State,Metric,Score,Year
Australia,Access,76.3,2020
Australia,Affordability,60.9,2020
Australia,Digital Ability,52.0,2020
Australia,Digital Inclusion Index,63.0,2020
Australia,Access,75.7,2019
Australia,Affordability,59.2,2019
Australia,Digital Ability,50.8,2019
Australia,Digital Inclusion Index,61.9,2019
Australia,Access,73.4,2018
Australia,Affordability,57.6,2018
Australia,Digital Ability,49.6,2018
Australia,Digital Inclusion Index,60.2,2018
Australia,Access,70.8,2017
Australia,Affordability,55.9,2017
Australia,Digital Ability,47.3,2017
Australia,Digital Inclusion Index,58.0,2017
Australia,Access,67.7,2016
Australia,Affordability,54.0,2016
Australia,Digital Ability,46.0,2016
Australia,Digital Inclusion Index,55.9,2016
Australia,Access,64.6,2015
Australia,Affordability,54.3,2015
Australia,Digital Ability,44.4,2015
Australia,Digital Inclusion Index,54.4,2015
Australia,Access,63.9,2014
Australia,Affordability,56.0,2014
Australia,Digital Ability,42.2,2014
Australia,Digital Inclusion Index,54.0,2014
