Quintile,Value,Year
Lowest quintile,413,2014
Second quintile,678,2014
Third quintile,928,2014
Fourth quintile,1233,2014
Highest quintile,2244,2014
Lowest quintile,414,2015
Second quintile,675,2015
Third quintile,915,2015
Fourth quintile,1241,2015
Highest quintile,2146,2015
Lowest quintile,414,2016
Second quintile,675,2016
Third quintile,915,2016
Fourth quintile,1241,2016
Highest quintile,2146,2016
Lowest quintile,411,2017
Second quintile,684,2017
Third quintile,929,2017
Fourth quintile,1241,2017
Highest quintile,2207,2017
Lowest quintile,411,2018
Second quintile,684,2018
Third quintile,929,2018
Fourth quintile,1241,2018
Highest quintile,2207,2018
Lowest quintile,415,2019
Second quintile,710,2019
Third quintile,966,2019
Fourth quintile,1294,2019
Highest quintile,2234,2019
Lowest quintile,415,2020
Second quintile,710,2020
Third quintile,966,2020
Fourth quintile,1294,2020
Highest quintile,2234,2020
